,x1,x2,y
0,8.244115,5.613418,1
1,8.100667,1.587521,1
2,7.401731,0.919091,1
3,4.02058,0.504374,0
4,8.821338,8.947818,0
5,2.745782,2.789363,0
6,5.865683,3.964271,1
7,9.437805,0.194782,0
8,6.992177,8.675871,0
9,9.093449,4.983635,1
10,8.025548,5.631073,1
11,9.378834,9.351322,1
12,9.853983,7.706716,1
13,5.04794,4.67864,1
14,6.464129,6.064359,1
15,0.573803,4.43019,0
16,1.510308,0.960869,0
17,8.598885,4.596215,1
18,3.166504,9.522551,0
19,6.374189,7.980019,0
20,6.982492,0.331374,0
21,7.037757,8.121426,0
22,4.499853,7.273863,0
23,9.335462,8.247078,1
24,0.129445,6.749706,0
25,5.716526,2.975038,1
26,7.530164,0.73317,1
27,9.798805,7.415232,1
28,0.182462,4.87441,0
29,7.385685,0.347582,0
30,2.000496,9.401094,0
31,7.70421,3.072883,1
32,9.874922,4.608799,1
33,5.58855,8.014925,0
34,5.085284,7.45841,0
35,2.675447,3.144345,0
36,6.720963,4.563227,1
37,0.409803,3.534795,0
38,7.752006,6.134169,1
39,1.096851,2.755253,0
40,7.107159,0.418908,0
41,5.91454,0.53901,0
42,6.949812,1.124084,1
43,7.503697,0.083757,0
44,5.850581,7.66746,0
45,9.717763,2.307155,1
46,2.710197,7.170291,0
47,2.04613,5.915302,0
48,1.691718,6.9432,0
49,9.38285,5.601493,1
50,8.609043,4.730395,1
51,0.841432,6.384086,0
52,6.525032,9.396595,0
53,1.151833,8.536876,0
54,6.803376,9.398083,0
55,3.175483,0.102761,0
56,3.462461,3.678145,0
57,5.98479,1.974018,1
58,7.142013,6.752239,1
59,7.009666,1.543699,1
60,2.591936,0.639443,0
61,4.529965,4.512433,0
62,0.831772,9.748688,0
63,6.067979,9.606917,0
64,7.572739,1.485902,1
65,6.38455,9.679079,0
66,8.767831,0.457375,0
67,2.638656,2.922831,0
68,2.491453,0.747958,0
69,0.377514,6.589827,0
70,3.024335,1.708759,1
71,2.320761,9.120565,0
72,2.372175,7.021472,0
73,8.614684,4.844542,1
74,6.255497,6.808578,0
75,9.233188,9.437154,0
76,2.943902,9.917394,0
77,6.838167,8.943496,0
78,8.778287,1.94423,1
79,2.912344,6.321959,0
80,1.555798,2.816262,0
81,9.448982,4.098365,1
82,2.994704,3.58856,0
83,9.401932,3.984723,1
84,1.243744,3.79607,0
85,3.36885,2.471206,1
86,5.90366,9.354941,0
87,1.57796,0.726077,0
88,9.744154,5.140156,1
89,5.761739,3.727646,1
90,7.884058,5.137639,1
91,6.104564,1.679933,1
92,7.977012,1.27278,1
93,9.808572,6.732766,1
94,4.015355,1.921542,1
95,0.486459,2.323734,0
96,2.889992,4.315979,0
97,5.374804,0.203443,0
98,9.15956,7.040607,1
99,5.479804,7.723334,0
100,3.08534,4.052927,0
101,9.848735,7.1966,1
102,7.480768,6.221818,1
103,1.711623,7.466467,0
104,2.484555,5.917545,0
105,7.288566,2.663548,1
106,8.130572,9.219737,0
107,2.766122,8.050749,0
108,1.71486,5.370791,0
109,4.056494,1.051068,1
110,2.719137,8.361523,0
111,4.719298,6.766286,0
112,0.359222,3.849758,0
113,7.674492,2.448756,1
114,4.714338,9.420654,0
115,5.621217,8.524701,0
116,8.913986,0.994148,1
117,4.425887,9.218369,0
118,6.88914,6.930054,0
119,8.783693,7.968819,1
120,1.935358,7.875101,0
121,9.52516,4.883376,1
122,9.829354,6.870239,1
123,2.647645,8.814902,0
124,9.006592,6.893172,1
125,6.201903,9.780814,0
126,2.10178,1.891881,0
127,2.538702,7.718951,0
128,5.178187,3.013318,1
129,3.103668,8.880044,0
130,1.697785,8.240488,0
131,3.839278,1.121525,1
132,1.216173,9.644693,0
133,6.858128,1.613417,1
134,8.331627,0.192683,0
135,0.589244,9.853251,0
136,0.063758,3.48512,0
137,9.514417,2.887932,1
138,9.721177,5.364664,1
139,8.802523,4.936953,1
140,0.338549,0.831284,0
141,2.031189,2.185552,0
142,4.33278,7.73598,0
143,0.056279,2.349107,0
144,1.707382,3.353909,0
145,0.783304,4.993431,0
146,9.401341,3.116241,1
147,0.108559,4.347218,0
148,9.95873,6.285792,1
149,1.513531,1.680627,0
150,1.671679,5.418789,0
151,8.190185,2.449073,1
152,1.452539,8.594752,0
153,9.315758,6.189821,1
154,9.433009,2.553434,1
155,2.522167,4.868672,0
156,3.22815,2.590867,1
157,7.136614,1.682378,1
158,0.735322,9.096066,0
159,8.177318,3.536076,1
160,1.485427,1.596481,0
161,8.929046,9.829031,0
162,9.649393,7.934796,1
163,1.613844,5.793013,0
164,7.057281,3.040201,1
165,2.770585,6.068232,0
166,6.233944,3.100038,1
167,0.772808,5.252293,0
168,7.620669,4.846196,1
169,8.169973,4.326697,1
170,9.560222,8.543535,1
171,4.23304,1.304491,1
172,5.12544,4.508402,1
173,5.975528,1.79715,1
174,2.945004,0.455924,0
175,5.401523,1.868414,1
176,2.605592,5.688278,0
177,5.548018,4.677748,1
178,3.593443,0.338709,0
179,5.622383,0.488555,0
180,9.986465,1.306527,1
181,2.898881,1.50823,1
182,5.797204,6.022569,0
183,4.818619,5.107957,0
184,8.37289,9.994736,0
185,1.86661,5.380368,0
186,0.785536,8.00543,0
187,2.978441,1.302059,1
188,8.274401,8.064249,1
189,5.89999,9.492421,0
190,4.545326,3.570494,1
191,5.000786,3.029289,1
192,9.55276,1.292199,1
193,7.265464,3.123621,1
194,9.322076,8.13251,1
195,8.000729,3.481923,1
196,4.781411,4.992752,0
197,1.560225,2.953965,0
198,7.995843,6.464326,1
199,4.41577,1.630327,1
200,6.154673,2.126646,1
201,8.851074,3.132352,1
202,2.11009,9.895687,0
203,9.855222,1.218008,1
204,3.108236,5.268448,0
205,7.563689,2.82244,1
206,1.405451,6.80104,0
207,0.95612,3.71313,0
208,4.927992,6.293001,0
209,7.645247,3.40812,1
210,9.042771,4.141429,1
211,8.962803,8.455926,1
212,7.22479,7.141885,1
213,1.480387,4.105516,0
214,9.427112,6.766445,1
215,1.591567,7.031418,0
216,6.703846,2.143596,1
217,2.873518,4.72182,0
218,7.01719,0.889809,1
219,3.24604,9.38575,0
220,5.317379,0.152412,0
221,0.933557,0.356077,0
222,7.474571,8.749769,0
223,5.159813,5.940848,0
224,5.472583,0.172004,0
225,7.066936,6.651606,1
226,2.833843,6.408691,0
227,9.214367,4.626689,1
228,7.853229,9.971563,0
229,0.603878,3.052384,0
230,1.283547,1.256409,0
231,9.960751,9.126654,1
232,7.427884,2.431252,1
233,6.182661,5.641014,1
234,7.321946,4.791735,1
235,0.402546,0.599052,0
236,4.519664,1.561294,1
237,0.710494,8.859644,0
238,1.453671,9.514603,0
239,6.619939,7.496485,0
240,8.731602,4.197917,1
241,5.008811,5.677941,0
242,7.483268,9.510411,0
243,4.717529,9.805164,0
244,1.66806,1.531434,0
245,9.895156,7.078709,1
246,0.184257,4.880312,0
247,1.763843,2.114343,0
248,1.665718,6.184526,0
249,1.170398,0.700427,0
250,8.419939,8.157264,1
251,7.519457,2.602,1
252,3.807545,5.127727,0
253,7.749667,3.143013,1
254,6.110271,5.968226,1
255,1.499687,5.723442,0
256,0.11145,3.43767,0
257,3.130432,4.834943,0
258,1.871064,2.505712,0
259,4.994224,6.649878,0
260,9.823405,0.47928,1
261,8.688646,0.921339,1
262,4.152254,2.487759,1
263,9.563095,2.976961,1
264,8.844576,9.730611,0
265,8.69937,3.369887,1
266,7.947014,2.897239,1
